Date,Time,sma_diff,wavg_diff,xavg_diff,hma_diff,adma_diff,tsi_diff,rsi_diff,gauss_diff,momo_diff,t3_diff,macd_diff
20140102,101100,0.000133,3.70E-05,-0.115048,-6.00E-05,-0.063792,-3.364507,-0.060545,-0.011767,-0.005,-0.051905,0.004708
20140102,101200,0.000883,0.001571,-0.107142,0.002049,-0.056827,0.010945,1.454361,-0.000936,0.009,-0.026613,0.005216
20140102,101300,0.00085,0.001381,-0.094251,0.003073,-0.043098,3.683616,-0.249849,-0.005381,0,0.007337,0.016005
20140102,101400,0.000883,0.001281,-0.076251,0.003092,-0.01164,7.918003,-0.038275,-0.010355,0,0.048613,0.031088
20140102,101500,0.000808,0.001114,-0.066245,0.002283,-0.005955,10.374196,-0.172528,-0.000669,-1.00E-04,0.065391,0.022873
20140102,101600,0.00045,0.000259,-0.05584,0.000418,0.00071,11.686336,-0.880956,-0.002109,-0.0051,0.079574,0.02117
20140102,101700,0.00045,0.000159,-0.049916,-0.000932,0.002753,11.64868,-0.10891,0.002684,0,0.079754,0.012213
20140102,101800,0.000383,0.000151,-0.041691,-0.001735,0.005545,11.413403,0.048013,-0.000506,0,0.08345,0.013622
20140102,101900,0.000417,6.20E-05,-0.035811,-0.001727,0.009379,10.818011,-0.009313,0.000454,0,0.080388,0.010748
20140102,102000,0.000383,-2.60E-05,-0.031805,-0.001305,0.01277,9.853883,-0.06706,0.001698,0,0.072524,0.006794
20140102,102100,0.00045,-5.40E-05,-0.026323,-0.00079,0.015275,9.135812,0.045498,-0.000832,0,0.068495,0.008755
20140102,102200,0.000417,-0.000115,-0.027682,-0.000251,0.01078,6.871901,-0.259486,0.005537,0,0.048927,-0.002972
20140102,102300,0.000417,-0.000187,-0.033596,6.60E-05,-0.005574,2.961856,-0.428115,0.00948,0,0.021085,-0.016283
20140102,102400,-0.00045,-0.00029,-0.041945,0.000203,-0.025727,-1.761742,-0.523728,0.010032,-0.01,-0.009129,-0.02672
20140102,102500,-0.000867,-0.000951,-0.046642,-0.000812,-0.030259,-5.336845,-1.602181,0.001299,-0.005,-0.02607,-0.023084
20140102,102600,-0.000883,-0.001018,-0.056743,-0.001601,-0.041066,-8.953074,-1.112805,0.006045,-0.001,-0.052983,-0.032723
20140102,102700,-0.00095,-0.000859,-0.059395,-0.001699,-0.042381,-10.072744,-0.424818,-0.001809,0,-0.058441,-0.022733
20140102,102800,-0.000467,-0.000736,-0.053962,-0.00144,-0.033841,-7.977749,-0.013198,-0.010374,0.005,-0.04332,-0.003062
20140102,102900,-0.0005,-0.000587,-0.052219,-0.000936,-0.03303,-5.743583,-0.138327,-0.004591,0,-0.036916,-0.001961
20140102,103000,-8.30E-05,0.000228,-0.048177,0.000577,-0.029984,-3.3251,0.969255,-0.00191,0.005,-0.025724,0.002102
20140102,103100,-0.000117,0.000256,-0.044643,0.001581,-0.025948,-1.4015,-0.131738,-0.000859,0,-0.016202,0.003109
20140102,103200,-0.000717,-0.001003,-0.048973,0.000192,-0.037203,-1.380293,-1.733065,0.004162,-0.008,-0.024746,-0.010522
20140102,103300,-0.000742,-0.000869,-0.052615,-0.000922,-0.045862,-2.070163,-0.272789,0.004872,1.00E-04,-0.0322,-0.016338
20140102,103400,-0.000942,-0.001024,-0.058177,-0.001861,-0.057839,-3.429199,-0.707355,0.004905,-0.002,-0.043013,-0.022455
20140102,103500,-0.000117,0.000636,-0.052551,0.000219,-0.050471,-2.205073,2.10186,-0.003049,0.0099,-0.02797,-0.004977
20140102,103600,0.0002,0.001108,-0.04784,0.00191,-0.041996,-0.448074,0.559459,-0.002733,0.003,-0.015197,0.001706
20140102,103700,0.000617,0.001085,-0.048903,0.002873,-0.046316,0.183771,-0.086194,0.00374,0.005,-0.016454,-0.006019
20140102,103800,0.0007,0.000936,-0.047292,0.002748,-0.044394,0.724114,-0.096866,0.001341,0.001,-0.011792,-0.004376
20140102,103900,0.000633,0.000821,-0.047673,0.002141,-0.044458,0.737472,-0.080599,0.002657,0,-0.012291,-0.007331
20140102,104000,0.00105,0.001585,-0.048267,0.002396,-0.047677,0.462446,0.969245,0.004833,0.005,-0.014044,-0.009656
20140102,104100,0.00105,0.001346,-0.045506,0.001856,-0.044606,0.732217,-0.308751,-0.000334,0,-0.007471,-0.003658
20140102,104200,0.000633,0.0012,-0.03203,0.001273,-0.01833,3.767443,0.143827,-0.012528,-0.005,0.023399,0.020262
20140102,104300,0.000667,0.001095,-0.015966,0.000597,0.010596,7.777179,0.247995,-0.014106,0,0.056763,0.035924
20140102,104400,0.001367,0.000992,0.004999,0.000171,0.043678,11.916446,0.345783,-0.016194,0.008,0.097102,0.05278
20140102,104500,0.001292,0.000759,0.020748,-0.000146,0.059341,14.272572,0.30545,-0.007696,-1.00E-04,0.119943,0.050703
20140102,104600,0.001792,0.001168,0.028399,0.000437,0.06538,14.036131,1.075651,0.004926,0.006,0.119479,0.034409
20140102,104700,0.001,0.0009,0.033175,0.000829,0.067276,12.482574,0.018072,0.006582,-0.0099,0.111082,0.023172
20140102,104800,0.000783,0.000785,0.03066,0.000888,0.056277,9.0959,-0.110395,0.011156,-0.003,0.08591,0.005362
20140102,104900,0.000783,0.000656,0.030441,0.000613,0.052216,5.911426,-0.072083,0.005328,0,0.067992,0.002858
20140102,105000,0.000783,0.000574,0.031971,0.000387,0.051833,3.594082,-0.036935,0.00011,0,0.056276,0.006086
20140102,105100,0.000717,0.000431,0.029905,0.000131,0.04746,1.262158,-0.090865,0.002284,0,0.038264,0.001239
20140102,105200,0.001167,0.001805,0.01867,0.001996,0.020975,-2.577964,1.427159,0.01614,0.005,0.000217,-0.020011
