Date,Time,sma_diff,wavg_diff,xavg_diff,hma_diff,adma_diff,tsi_diff,rsi_diff,gauss_diff,momo_diff,t3_diff,macd_diff
20140102,101100,-0.0167,-0.014792,-0.281722,-0.000332,-0.218466,0.209442,1.478209,-0.023493,-0.0325,-0.036658,-0.007401
20140102,101200,-0.0133,-0.012138,-0.267329,-0.003478,-0.20715,2.199603,3.142917,-0.013769,0.04,-0.008552,-0.003963
20140102,101300,-0.00875,-0.000131,-0.239117,0.008774,-0.170833,5.4679,4.18641,0.007178,0.055,0.040143,0.016205
20140102,101400,-0.008783,0.001208,-0.225464,0.016268,-0.163176,7.451704,2.163923,0.012134,0,0.05764,0.006165
20140102,101500,-0.007083,0.005636,-0.225642,0.022161,-0.181813,7.45217,9.498286,0.032787,0.02,0.037529,-0.026535
20140102,101600,-0.001217,0.003679,-0.224832,0.016236,-0.192036,6.357656,4.823733,0.013201,0.07,0.024983,-0.032525
20140102,101700,0.004583,0.003805,-0.211449,0.010695,-0.176939,6.042465,1.916502,-0.00404,0.07,0.039298,-0.011838
20140102,101800,0.002117,0.003115,-0.203984,0.004478,-0.172059,5.574929,4.158018,2.70E-05,-0.03,0.03842,-0.013176
20140102,101900,0.00205,0.002782,-0.195293,-0.00089,-0.166737,5.170933,3.612265,-0.000504,0,0.039799,-0.010487
20140102,102000,0.006283,0.010182,-0.177047,0.006842,-0.143751,6.077593,5.162222,0.012203,0.05,0.05739,0.00368
20140102,102100,0.005417,0.007738,-0.161696,0.008966,-0.124338,6.831628,-2.793279,0.000296,-0.01,0.074056,0.012916
20140102,102200,0.00625,0.006897,-0.151748,0.009318,-0.118708,6.998958,0.603806,0.004814,0.01,0.075047,0.006583
20140102,102300,0.00875,0.005913,-0.136478,0.006218,-0.107651,7.450953,-2.729107,-0.001877,0.03,0.087456,0.015156
20140102,102400,0.008783,0.004551,-0.140055,0.003798,-0.11781,5.694457,6.197554,0.016489,0,0.054415,-0.0166
20140102,102500,-0.000533,-0.003862,-0.139241,-0.008338,-0.121266,3.330725,-1.638316,-0.010939,-0.111,0.039547,-0.014857
20140102,102600,-0.0005,-0.003795,-0.128425,-0.015666,-0.109471,2.477235,-0.176122,-0.015588,0,0.043391,0.000513
20140102,102700,-0.0063,-0.011403,-0.117383,-0.026966,-0.093238,2.099693,-7.379134,-0.035532,-0.07,0.053528,0.014964
20140102,102800,-0.002167,-0.005833,-0.082598,-0.021775,-0.035992,4.996151,-9.313735,-0.031741,0.05,0.107211,0.057547
20140102,102900,-0.0022,-0.005531,-0.051544,-0.014439,0.011528,8.028471,-13.342688,-0.024999,0,0.151347,0.074043
20140102,103000,-0.0022,-0.005108,-0.035287,-0.006047,0.020058,9.009046,-7.663084,-0.002876,0,0.156128,0.053739
20140102,103100,-0.0022,-0.004785,-0.035818,-0.0001,0.005145,7.195459,-0.047894,0.017746,0,0.119859,0.013253
20140102,103200,-0.004633,-0.001423,-0.032925,0.007881,0.000408,5.226584,0.972806,0.020142,-0.03,0.092434,0.001241
20140102,103300,-0.008833,-0.009956,-0.053553,-0.000756,-0.040644,0.644074,3.164837,0.007037,-0.05,0.0236,-0.037432
20140102,103400,-0.009133,-0.009159,-0.060977,-0.008751,-0.054495,-2.552688,5.960407,-0.002534,-0.004,-0.014519,-0.035374
20140102,103500,-0.0092,-0.0078,-0.048357,-0.012352,-0.032978,-2.97919,-4.633911,-0.024148,0,-0.000473,0.004827
20140102,103600,0.000833,0.012108,-0.030294,0.014685,-0.010245,-0.880255,7.210677,0.027997,0.12,0.013993,0.017145
20140102,103700,0.0047,0.011933,-0.031043,0.029274,-0.017362,-0.239132,0.089815,0.02776,0.046,0.00191,0.001952
20140102,103800,0.004667,0.011249,-0.025495,0.03242,-0.013879,0.157599,-3.342179,0.013173,0,0.007242,0.008076
20140102,103900,0.008833,0.010562,-0.023801,0.026786,-0.014005,0.137213,-1.425895,0.01056,0.05,0.00399,0.003704
20140102,104000,0.0063,0.009164,-0.018233,0.019331,-0.010457,0.219444,-3.847943,0.002765,-0.03,0.010667,0.009692
20140102,104100,0.0063,0.00821,-0.004575,0.010055,0.015447,0.944574,-8.889756,-0.008264,0,0.035705,0.028381
20140102,104200,0.006333,0.007187,-0.003695,-0.000273,0.014016,0.887611,-2.023019,0.004783,0,0.029207,0.012322
20140102,104300,0.0063,0.006267,7.00E-05,-0.00504,0.016553,0.738585,-3.792596,0.002302,0,0.029548,0.011287
20140102,104400,0.001333,-0.000841,0.006923,-0.014296,0.029952,0.561406,-11.11931,-0.020976,-0.06,0.0414,0.022645
20140102,104500,0.006342,-0.001062,0.026138,-0.017298,0.061879,1.729842,-12.939464,-0.025889,0.0601,0.075002,0.047058
20140102,104600,0.006708,-0.001999,0.031346,-0.016228,0.061215,2.028315,-5.811329,-0.005744,0.004,0.072534,0.030933
20140102,104700,0.006642,-0.0031,0.04426,-0.011505,0.067079,2.558836,-10.250587,-0.009645,0,0.087222,0.039428
20140102,104800,-0.003292,-0.004045,0.0392,-0.006747,0.059835,1.408888,-0.951939,0.009906,-0.12,0.058812,0.009063
20140102,104900,-0.000833,0.001092,0.045465,0.003698,0.063562,0.958865,-2.703305,0.011624,0.0303,0.055667,0.014383
20140102,105000,-0.0008,0.001182,0.060729,0.010155,0.093674,1.397858,-10.898401,-0.007314,0,0.078157,0.038912
20140102,105100,-0.000767,0.001321,0.069365,0.011544,0.102082,1.679367,-9.01119,-0.002871,0,0.083939,0.03782
20140102,105200,-0.0008,0.001423,0.069773,0.009185,0.101118,1.260679,-5.273275,0.006415,0,0.069791,0.021719
20140102,105300,-0.005,-0.0061,0.063823,-0.004244,0.091514,-0.213829,-8.979668,-0.010895,-0.05,0.047928,0.009624
20140102,105400,-0.0058,-0.006931,0.063278,-0.014262,0.087974,-1.275359,-6.085899,-0.013112,-0.01,0.035314,0.010131
20140102,105500,-0.005767,-0.006031,0.065669,-0.018311,0.093147,-1.673273,-6.735156,-0.011919,0,0.030317,0.01523
