Date,Time,sma,wavg,xavg,hma,adma,tsi,rsi,gauss,momo,t3,macd
20140102,101100,185.8408,185.8079,185.8586,185.7461,185.8323,-22.854,-7.1286,185.8081,-0.14,185.7766,0.0113
20140102,101200,185.8317,185.8094,185.8573,185.7944,185.8354,-18.4438,-6.1797,185.8252,-0.11,185.7871,0.0119
20140102,101300,185.8325,185.8291,185.8731,185.8578,185.8665,-12.5655,-1.0885,185.8686,0.01,185.8231,0.0284
20140102,101400,185.8258,185.8364,185.8742,185.9051,185.8683,-8.2243,-4.3694,185.881,-0.08,185.8325,0.0159
20140102,101500,185.81,185.8232,185.8535,185.8963,185.8362,-7.5193,-9.5493,185.842,-0.19,185.806,-0.0143
20140102,101600,185.8067,185.814,185.8376,185.8538,185.8165,-8.2337,-9.0272,185.8067,-0.04,185.788,-0.0203
20140102,101700,185.7975,185.8206,185.8395,185.8272,185.8249,-7.4322,-3.874,185.8121,-0.11,185.7986,-0.0022
20140102,101800,185.8067,185.821,185.8334,185.8079,185.8211,-6.9853,-5.9707,185.8097,0.11,185.7953,-0.0042
20140102,101900,185.8158,185.8215,185.8298,185.7948,185.8189,-6.541,-5.421,185.8093,0.11,185.7954,-0.0025
20140102,102000,185.8367,185.8314,185.8375,185.8036,185.8342,-4.6401,-1.555,185.8301,0.25,185.813,0.0102
20140102,102100,185.845,185.8412,185.8472,185.8349,185.8507,-1.8696,-0.4579,185.8551,0.1,185.8321,0.016
20140102,102200,185.8425,185.8435,185.8491,185.8622,185.8521,0.1076,-2.656,185.8617,-0.03,185.8375,0.0086
20140102,102300,185.85,185.8554,185.86,185.8883,185.8612,2.8961,0.9082,185.8803,0.09,185.8567,0.0147
20140102,102400,185.8417,185.84,185.8431,185.8757,185.8422,1.4192,-7.9,185.8457,-0.1,185.8302,-0.014
20140102,102500,185.8283,185.8336,185.8365,185.8522,185.8346,-0.4281,-4.8548,185.825,-0.16,185.8217,-0.0129
20140102,102600,185.8275,185.84,185.8416,185.8382,185.8435,-0.4003,-0.7761,185.834,-0.01,185.8321,0.0013
20140102,102700,185.8417,185.8527,185.8521,185.8463,185.8601,1.3577,1.4732,185.8583,0.17,185.8504,0.0124
20140102,102800,185.8725,185.8955,185.8934,185.9094,185.9251,8.3591,11.2933,185.9407,0.37,185.9162,0.0491
20140102,102900,185.8983,185.9397,185.9344,186.0035,185.9838,16.6775,12.8552,186.0226,0.31,185.978,0.0598
20140102,103000,185.9208,185.9662,185.9552,186.083,185.9974,21.5447,7.1906,186.0537,0.27,186.0046,0.0384
20140102,103100,185.9308,185.9676,185.9514,186.1004,185.9806,20.529,-0.3956,186.0236,0.12,185.9908,0.0015
20140102,103200,185.9367,185.9705,185.9512,186.0787,185.9741,17.8834,0.6251,185.9956,0.07,185.9844,-0.0077
20140102,103300,185.925,185.9433,185.9217,185.9988,185.9272,10.5691,-8.1576,185.9202,-0.14,185.9324,-0.0411
20140102,103400,185.9217,185.9272,185.9061,185.9086,185.9083,4.0798,-4.8778,185.8749,-0.04,185.9059,-0.0354
