Date,Time,sma,wavg,xavg,hma,adma,tsi,rsi,gauss,momo,t3,macd
20140102,1011,183.4167,183.3895,183.4279,183.3578,183.4099,-28.7561,-6.93,183.3966,-0.16,183.3831,0.0153
20140102,1012,183.4067,183.3931,183.4297,183.4017,183.4148,-22.7383,-9.9854,183.4161,-0.12,183.393,0.0138
20140102,1013,183.4025,183.4074,183.4406,183.4475,183.4296,-14.9699,0.6852,183.4449,-0.05,183.4158,0.021
20140102,1014,183.4067,183.4332,183.4605,183.5013,183.4647,-4.9072,11.6008,183.4879,0.05,183.4514,0.0315
20140102,1015,183.4083,183.4506,183.4696,183.5405,183.4719,2.6791,2.797,183.5063,0.02,183.4673,0.0215
20140102,1016,183.4292,183.4709,183.4805,183.5636,183.4831,8.6753,6.0316,183.5201,0.25,183.4849,0.0179
20140102,1017,183.4442,183.4833,183.485,183.5661,183.4867,11.9601,0.556,183.52,0.18,183.4915,0.0087
20140102,1018,183.4583,183.4981,183.4935,183.5652,183.4926,14.6103,5.8596,183.5259,0.17,183.504,0.0092
20140102,1019,183.475,183.5091,183.4991,183.5582,183.4991,16.2053,3.8456,183.5283,0.2,183.5113,0.0061
20140102,1020,183.4908,183.516,183.5023,183.5469,183.5043,16.6874,1.7342,183.5264,0.19,183.5145,0.0024
20140102,1021,183.5067,183.5236,183.5081,183.5399,183.5097,17.308,5.9082,183.53,0.19,183.5219,0.0041
20140102,1022,183.5125,183.5195,183.5038,183.5251,183.5046,14.8224,-7.0178,183.516,0.07,183.5129,-0.006
20140102,1023,183.51,183.5068,183.4924,183.4976,183.4859,8.7335,-16.304,183.4877,-0.03,183.4934,-0.0167
20140102,1024,183.5058,183.4883,183.4767,183.4565,183.4619,0.1457,-23.0142,183.4529,-0.05,183.4682,-0.0242
20140102,1025,183.4983,183.4736,183.4664,183.4209,183.4541,-7.1341,-17.86,183.433,-0.09,183.4531,-0.0193
20140102,1026,183.4792,183.4492,183.447,183.3815,183.4334,-15.6232,-29.1882,183.4014,-0.23,183.4242,-0.0261
20140102,1027,183.4683,183.4355,183.4382,183.3571,183.4277,-20.3249,-16.6522,183.3914,-0.13,183.4138,-0.0157
20140102,1028,183.4617,183.4342,183.4416,183.362,183.4358,-18.9611,-1.5956,183.4096,-0.08,183.4229,0.0021
20140102,1029,183.455,183.4294,183.4398,183.381,183.4349,-16.6701,-7.196,183.4194,-0.08,183.4229,0.0026
20140102,1030,183.4475,183.4286,183.4413,183.4067,183.4369,-13.4729,-2.9354,183.4305,-0.09,183.428,0.0057
20140102,1031,183.4408,183.429,183.4427,183.4295,183.4402,-10.3993,-2.9354,183.4386,-0.08,183.4322,0.0058
20140102,1032,183.4292,183.4196,183.433,183.4342,183.4251,-10.4632,-16.722,183.423,-0.14,183.4184,-0.0068
20140102,1033,183.415,183.4105,183.4233,183.4215,183.4114,-12.1946,-18.5256,183.4041,-0.17,183.4052,-0.0115
20140102,1034,183.4033,183.399,183.4105,183.3934,183.3935,-15.5322,-23.9178,183.3812,-0.14,183.3876,-0.0162
20140102,1035,183.4033,183.4031,183.4135,183.3831,183.3998,-14.442,-1.8558,183.3908,0,183.3959,-0.0001
20140102,1036,183.4067,183.4072,183.4161,183.3863,183.4074,-11.7403,-1.8558,183.4044,0.04,183.4027,0.0053
20140102,1037,183.4042,183.4031,183.4105,183.3883,183.4005,-10.7619,-12.1918,183.4,-0.03,183.3959,-0.0021
20140102,1038,183.4092,183.4024,183.4089,183.3913,183.4005,-9.66,-7.2624,183.3991,0.06,183.3956,-0.0009
20140102,1039,183.4083,183.3979,183.4044,183.3914,183.3982,-9.4831,-11.5042,183.3933,-0.01,183.3905,-0.0037
20140102,1040,183.4008,183.3921,183.3991,183.3882,183.3911,-10.1416,-13.6582,183.3852,-0.09,183.3842,-0.0056
20140102,1041,183.3983,183.3919,183.3993,183.3859,183.3927,-9.4909,-5.2722,183.3879,-0.03,183.3867,-0.0004
20140102,1042,183.4033,183.4091,183.4163,183.4098,183.422,-2.6312,18.7172,183.4245,0.06,183.4158,0.0198
20140102,1043,183.4125,183.4332,183.4384,183.4582,183.4565,7.5841,26.9694,183.4722,0.11,183.4511,0.0315
20140102,1044,183.4342,183.4682,183.4694,183.5282,183.5024,19.9977,37.963,183.5317,0.26,183.4985,0.0435
20140102,1045,183.4558,183.4983,183.4941,183.5946,183.5297,29.9852,35.1878,183.5731,0.26,183.5334,0.0386
